Country,LAD code,LAD name,Rural Urban Classification (Note 1),Count (Note 3),"Libraries per 100,000 people"
England,E07000138,Lincoln,Urban with City and Town,5,4.839615154
England,E07000178,Oxford,Urban with City and Town,8,4.843084076
England,E07000065,Wealden,Mainly Rural,8,4.858702848
England,E07000063,Lewes,Urban with Significant Rural,5,4.933107068
Wales,W06000015,Cardiff,Wales,19,4.953902632
England,E07000086,Eastleigh,Urban with City and Town,7,4.966300106
England,E07000127,West Lancashire,Urban with Significant Rural,6,4.970878934
England,E07000197,Stafford,Urban with Significant Rural,7,4.975937787
England,E07000207,Elmbridge,Urban with Major Conurbation,7,4.982206406
England,E08000026,Coventry,Urban with City and Town,18,4.990268975
England,E08000010,Wigan,Urban with Major Conurbation,17,5.012176641
England,E09000017,Hillingdon,Urban with Major Conurbation,16,5.015390981
England,E07000202,Ipswich,Urban with City and Town,7,5.022313421
England,E07000118,Chorley,Urban with Significant Rural,6,5.027146592
England,E08000009,Trafford,Urban with Major Conurbation,12,5.0530571
England,E07000083,Tewkesbury,Largely Rural,5,5.055816211
England,E08000019,Sheffield,Urban with Minor Conurbation,29,5.058857187
England,E07000108,Dover,Urban with Significant Rural,6,5.059405857
England,E07000128,Wyre,Largely Rural,6,5.128468127
England,E08000032,Bradford,Urban with Major Conurbation,29,5.176778045
England,E07000117,Burnley,Urban with City and Town,5,5.184839529
England,E09000010,Enfield,Urban with Major Conurbation,17,5.191965281
England,E07000073,Harlow,Urban with City and Town,5,5.206164098
England,E07000198,Staffordshire Moorlands,Largely Rural,5,5.220024012
England,E06000035,Medway,Urban with City and Town,15,5.230125523
England,E07000102,Three Rivers,Urban with Major Conurbation,5,5.280221347
England,E08000004,Oldham,Urban with Major Conurbation,13,5.281761671
England,E07000126,South Ribble,Urban with City and Town,6,5.283922784
England,E06000060,Buckinghamshire,Urban with Significant Rural,30,5.293862296
England,E07000172,Broxtowe,Urban with Minor Conurbation,6,5.301664723
England,E08000007,Stockport,Urban with Major Conurbation,16,5.341434509
England,E06000025,South Gloucestershire,Urban with City and Town,16,5.343325352
England,E08000023,South Tyneside,Urban with Major Conurbation,8,5.359415824
England,E07000011,Huntingdonshire,Mainly Rural,10,5.374437028
England,E07000070,Chelmsford,Urban with City and Town,10,5.397294876
England,E06000024,North Somerset,Urban with Significant Rural,12,5.426279471
England,E08000034,Kirklees,Urban with Major Conurbation,24,5.429458887
England,E09000007,Camden,Urban with Major Conurbation,12,5.432248543
England,E06000041,Wokingham,Urban with City and Town,10,5.438625116
England,E07000134,North West Leicestershire,Largely Rural,6,5.438920918
Wales,W06000022,Newport,Wales,9,5.500281125
England,E06000066,Somerset,Largely Rural,32,5.506371043
England,E06000037,West Berkshire,Urban with Significant Rural,9,5.509068539
England,E07000212,Runnymede,Urban with Major Conurbation,5,5.528404945
England,E08000018,Rotherham,Urban with Minor Conurbation,15,5.531075425
England,E06000023,"Bristol, City of",Urban with City and Town,27,5.590085259
England,E07000215,Tandridge,Urban with Significant Rural,5,5.592278182
England,E06000009,Blackpool,Urban with City and Town,8,5.60585251
England,E06000034,Thurrock,Urban with Major Conurbation,10,5.611640788
England,E06000015,Derby,Urban with City and Town,15,5.629362756
England,E07000075,Rochford,Urban with City and Town,5,5.669705629
England,E09000033,Westminster,Urban with Major Conurbation,12,5.673544263
England,E06000012,North East Lincolnshire,Urban with City and Town,9,5.684150693
England,E07000114,Thanet,Urban with City and Town,8,5.696423358
England,E07000038,North East Derbyshire,Urban with City and Town,6,5.712381587
England,E07000171,Bassetlaw,Largely Rural,7,5.724285691
England,E08000033,Calderdale,Urban with Major Conurbation,12,5.74891609
England,E07000241,Welwyn Hatfield,Urban with City and Town,7,5.749533877
England,E07000040,East Devon,Largely Rural,9,5.763061338
England,E06000019,"Herefordshire, County of",Largely Rural,11,5.792827426
England,E07000078,Cheltenham,Urban with City and Town,7,5.820963785
England,E07000192,Cannock Chase,Urban with Significant Rural,6,5.834419184
England,E07000131,Harborough,Mainly Rural,6,5.849036371
England,E06000030,Swindon,Urban with City and Town,14,5.872064492
England,E08000031,Wolverhampton,Urban with Major Conurbation,16,5.873176104
England,E07000072,Epping Forest,Urban with Significant Rural,8,5.883434455
